
millis,ldr_raw,ldr_ema,joyx_raw,joyx_ema,joyy_raw,joyy_ema,mic_raw,mic_ema,sw
22760,43,43.5,512,512.2,520,520.0,46,46.0,0
22810,44,43.6,513,512.4,520,520.0,47,46.3,0
22860,42,43.2,512,512.3,519,519.8,46,46.2,0
22910,43,43.1,512,512.2,519,519.6,46,46.1,0
22960,44,43.4,513,512.4,520,519.7,45,45.9,0
23010,43,43.3,513,512.6,520,519.8,46,45.9,0
23060,42,43.0,512,512.4,520,519.8,46,45.9,0
23110,43,43.0,512,512.3,521,520.1,48,46.4,0
23160,44,43.2,512,512.2,520,520.1,46,46.3,0
23211,42,42.9,512,512.2,520,520.1,46,46.2,0
23261,44,43.2,512,512.1,520,520.0,46,46.2,0
23311,43,43.1,512,512.1,520,520.0,47,46.4,0
23361,43,43.1,512,512.1,521,520.3,46,46.3,0
23411,43,43.1,512,512.1,520,520.2,46,46.2,0
23461,43,43.1,512,512.0,520,520.2,45,45.9,0
23511,42,42.8,513,512.3,520,520.1,45,45.7,0
23561,43,42.8,513,512.5,520,520.1,47,46.0,0
23611,42,42.6,512,512.3,520,520.1,46,46.0,0
23661,43,42.7,512,512.3,520,520.0,45,45.8,0
23711,43,42.8,512,512.2,520,520.0,46,45.8,0
